SPRITES
123
SP_WALL_TOP Dot(-28.4237184688, 41.0833794661) 1.0000000000 -1
SP_WALL_TOP Dot(-12.4237184688, 41.0833794661) 1.0000000000 -1
SP_WALL_TOP Dot(3.5762815312, 41.0833794661) 1.0000000000 -1
SP_WALL_TOP Dot(19.5762815312, 41.0833794661) 1.0000000000 -1
SP_WALL_TOP Dot(35.5762815312, 41.0833794661) 1.0000000000 -1
SP_WALL_TOP Dot(51.5762815312, 41.0833794661) 1.0000000000 -1
SP_WALL_TOP Dot(67.5762815312, 41.0833794661) 1.0000000000 -1
SP_WALL_TOP Dot(83.5762815312, 41.0833794661) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(83.5762815312, -214.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(99.5762815312, -214.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(115.5762815312, -214.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(67.5762815312, -198.9166205339) 1.0000000000 -1
SP_WALL_TOP Dot(131.5762815312, 41.0833794661) 1.0000000000 -1
SP_WALL_TOP Dot(99.5762815312, -150.9166205339) 1.0000000000 -1
SP_WALL_TOP Dot(83.5762815312, -150.9166205339) 1.0000000000 -1
SP_WALL_TOP Dot(67.5762815312, -150.9166205339) 1.0000000000 -1
SP_WALL_TOP Dot(51.5762815312, -150.9166205339) 1.0000000000 -1
SP_WALL_TOP Dot(35.5762815312, -150.9166205339) 1.0000000000 -1
SP_WALL_TOP Dot(19.5762815312, -150.9166205339) 1.0000000000 -1
SP_WALL_BOTTOM_RIGHT_INSIDE Dot(3.5762815312, -150.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(19.5762815312, -198.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(19.5762815312, -214.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(35.5762815312, -198.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(51.5762815312, -198.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(83.5762815312, -198.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(99.5762815312, -198.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(115.5762815312, -198.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(35.5762815312, -214.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(51.5762815312, -214.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(67.5762815312, -214.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -198.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -182.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -166.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -150.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -134.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -102.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -86.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -70.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -54.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -38.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -22.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -6.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(115.5762815312, -6.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(99.5762815312, -6.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -118.9166205339) 1.0000000000 -1
SP_WOODEN_FLOOR Dot(131.5762815312, -214.9166205339) 1.0000000000 -1
SP_WALL_TOP Dot(99.5762815312, 41.0833794661) 1.0000000000 -1
SP_WALL_TOP Dot(115.5762815312, 41.0833794661) 1.0000000000 -1
SP_WALL_TOP_LEFT Dot(115.5762815312, -150.9166205339) 1.0000000000 -1
SP_GRASS_BACKGROUND Dot(35.5762815312, -70.9166205339) 1.0000000000 -1
SP_GRASS_BACKGROUND Dot(-28.4237184688, -6.9166205339) 1.0000000000 -1
SP_GRASS_BACKGROUND Dot(35.5762815312, -6.9166205339) 1.0000000000 -1
SP_GRASS_BACKGROUND Dot(-28.4237184688, -70.9166205339) 1.0000000000 -1
SP_BUSH Dot(4.8483083312, -33.1457631487) 1.0000000000 0
SP_BUSH Dot(60.3439245876, -45.5750647925) 1.0000000000 0
SP_BUSH Dot(15.1766591344, -81.3398150437) 1.0000000000 0
SP_WALL_RIGHT Dot(99.5762815312, -86.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(99.5762815312, -70.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(99.5762815312, -54.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(99.5762815312, -38.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(-44.4237184688, 25.0833794661) 1.0000000000 1
SP_WALL_LEFT Dot(115.5762815312, -86.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(115.5762815312, -102.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(3.5762815312, -166.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(3.5762815312, -182.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(3.5762815312, -198.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(19.5762815312, -230.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(35.5762815312, -230.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(-44.4237184688, -6.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(67.5762815312, -230.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(83.5762815312, -230.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(99.5762815312, -230.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(115.5762815312, -230.9166205339) 1.0000000000 1
SP_WALL_TOP_RIGHT_INSIDE Dot(3.5762815312, -230.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(-44.4237184688, -22.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(-44.4237184688, -38.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(-44.4237184688, -54.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(-44.4237184688, -70.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(-44.4237184688, -86.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(-44.4237184688, -102.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(-44.4237184688, 9.0833794661) 1.0000000000 1
SP_WALL_LEFT Dot(-44.4237184688, -118.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(3.5762815312, -214.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(115.5762815312, -118.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(115.5762815312, -134.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(19.5762815312, -134.9166205339) 1.0000000000 1
SP_WALL_BOTTOM_RIGHT Dot(99.5762815312, -22.9166205339) 1.0000000000 1
SP_WALL_TOP_RIGHT_INSIDE Dot(-44.4237184688, -134.9166205339) 1.0000000000 1
SP_WALL_BOTTOM_LEFT Dot(115.5762815312, -22.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(115.5762815312, -38.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(115.5762815312, -54.9166205339) 1.0000000000 1
SP_WALL_LEFT Dot(115.5762815312, -70.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(35.5762815312, -134.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, 24.0833794661) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, 8.0833794661) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -7.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -23.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -39.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -55.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -71.9166205339) 1.0000000000 1
SP_WALL_BOTTOM_RIGHT_INSIDE Dot(-44.4237184688, 41.0833794661) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -103.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -119.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -135.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -151.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -167.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -183.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(51.5762815312, -230.9166205339) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -215.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(131.5762815312, -230.9166205339) 1.0000000000 1
SP_WALL_TOP_LEFT_INSIDE Dot(147.5762815312, -231.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(-28.4237184688, -134.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(-12.4237184688, -134.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(3.5762815312, -134.9166205339) 1.0000000000 1
SP_WALL_BOTTOM_LEFT_INSIDE Dot(147.5762815312, 40.0833794661) 1.0000000000 1
SP_WALL_RIGHT Dot(147.5762815312, -87.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(51.5762815312, -134.9166205339) 1.0000000000 1
SP_WALL_BOTTOM Dot(67.5762815312, -134.9166205339) 1.0000000000 1
